Ninh Kiều, Cần Thơ
H.Mỏ Cày Nam, T.Bến Tre
Giồng Trôm, Bến Tre
Huyện Giồng Trôm, Tỉnh Bến Tre
H.Giồng Trôm, T.Bến Tre
Bình Đại, Bến Tre
Huyện Bình Đại, Tỉnh Bến Tre
H.Bình Đại, T.Bến Tre
Ba Tri, Bến Tre
Huyện Ba Tri, Tỉnh Bến Tre
H.Ba Tri, T.Bến Tre
Thạnh Phú, Bến Tre
Huyện Thạnh Phú, Tỉnh Bến Tre
H.Thạnh Phú, T.Bến Tre
Mỏ Cày Bắc, Bến Tre
Huyện Mỏ Cày Bắc, Tỉnh Bến Tre
H.Mỏ Cày Bắc, T.Bến Tre
Qui Nhơn, Bình Định
Thành phố Qui Nhơn, Tỉnh Bình Định
TP.Qui Nhơn, T.Bình Định
An Lão, Bình Định
Huyện An Lão, Tỉnh Bình Định
H.An Lão, T.Bình Định
Hoài Nhơn, Bình Định
Huyện Hoài Nhơn, Tỉnh Bình Định
H.Hoài Nhơn, T.Bình Định
Hoài Ân, Bình Định
Huyện Hoài Ân, Tỉnh Bình Định
H.Hoài Ân, T.Bình Định
Phù Mỹ, Bình Định
Huyện Phù Mỹ, Tỉnh Bình Định
H.Phù Mỹ, T.Bình Định
Vĩnh Thạnh, Bình Định
Huyện Vĩnh Thạnh, Tỉnh Bình Định
H.Vĩnh Thạnh, T.Bình Định
Tây Sơn, Bình Định
Huyện Tây Sơn, Tỉnh Bình Định
H.Tây Sơn, T.Bình Định
Phù Cát, Bình Định
Huyện Phù Cát, Tỉnh Bình Định
H.Phù Cát, T.Bình Định
An Nhơn, Bình Định
Thị xã An Nhơn, Tỉnh Bình Định
Thị xã An Nhơn, T.Bình Định
Tuy Phước, Bình Định
Huyện Tuy Phước, Tỉnh Bình Định
H.Tuy Phước, T.Bình Định
Vân Canh, Bình Định
Huyện Vân Canh, Tỉnh Bình Định
H.Vân Canh, T.Bình Định
Thủ Dầu Một, Bình Dương
Thành phố Thủ Dầu Một, Tỉnh Bình Dương
TP.Thủ Dầu Một, T.Bình Dương
Bàu Bàng, Bình Dương
Huyện Bàu Bàng, Tỉnh Bình Dương
H.Bàu Bàng, T.Bình Dương
Dầu Tiếng, Bình Dương
Huyện Dầu Tiếng, Tỉnh Bình Dương
H.Dầu Tiếng, T.Bình Dương
Bến Cát, Bình Dương
Thị xã Bến Cát, Tỉnh Bình Dương
Thị xã Bến Cát, T.Bình Dương
Phú Giáo, Bình Dương
Huyện Phú Giáo, Tỉnh Bình Dương
H.Phú Giáo, T.Bình Dương
Tân Uyên, Bình Dương
Thị xã Tân Uyên, Tỉnh Bình Dương
Thị xã Tân Uyên, T.Bình Dương
Dĩ An, Bình Dương
Thị xã Dĩ An, Tỉnh Bình Dương
Thị xã Dĩ An, T.Bình Dương
Thuận An, Bình Dương
Thị xã Thuận An, Tỉnh Bình Dương
Thị xã Thuận An, T.Bình Dương
Bắc Tân Uyên, Bình Dương
Huyện Bắc Tân Uyên, Tỉnh Bình Dương
H.Bắc Tân Uyên, T.Bình Dương
Phước Long, Bình Phước
Thị xã Phước Long, Tỉnh Bình Phước
Thị xã Phước Long, T.Bình Phước
Đồng Xoài, Bình Phước
Thành phố Đồng Xoài, Tỉnh Bình Phước
TP.Đồng Xoài, T.Bình Phước
Bình Long, Bình Phước
Thị xã Bình Long, Tỉnh Bình Phước
Thị xã Bình Long, T.Bình Phước
Bù Gia Mập, Bình Phước
Huyện Bù Gia Mập, Tỉnh Bình Phước
H.Bù Gia Mập, T.Bình Phước
Lộc Ninh, Bình Phước
Huyện Lộc Ninh, Tỉnh Bình Phước
H.Lộc Ninh, T.Bình Phước
Bù Đốp, Bình Phước
Huyện Bù Đốp, Tỉnh Bình Phước
H.Bù Đốp, T.Bình Phước
Hớn Quản, Bình Phước
Huyện Hớn Quản, Tỉnh Bình Phước
H.Hớn Quản, T.Bình Phước
Đồng Phú, Bình Phước
Huyện Đồng Phú, Tỉnh Bình Phước
H.Đồng Phú, T.Bình Phước
Bù Đăng, Bình Phước
Huyện Bù Đăng, Tỉnh Bình Phước
H.Bù Đăng, T.Bình Phước
Chơn Thành, Bình Phước
Huyện Chơn Thành, Tỉnh Bình Phước
H.Chơn Thành, T.Bình Phước
Phú Riềng, Bình Phước
Huyện Phú Riềng, Tỉnh Bình Phước
H.Phú Riềng, T.Bình Phước
Phan Thiết, Bình Thuận
Thành phố Phan Thiết, Tỉnh Bình Thuận
TP.Phan Thiết, T.Bình Thuận
La Gi, Bình Thuận
Thị xã La Gi, Tỉnh Bình Thuận
Thị xã La Gi, T.Bình Thuận
Tuy Phong, Bình Thuận
Huyện Tuy Phong, Tỉnh Bình Thuận
H.Tuy Phong, T.Bình Thuận
Bắc Bình, Bình Thuận
Huyện Bắc Bình, Tỉnh Bình Thuận
H.Bắc Bình, T.Bình Thuận
Hàm Thuận Bắc, Bình Thuận
Huyện Hàm Thuận Bắc, Tỉnh Bình Thuận
H.Hàm Thuận Bắc, T.Bình Thuận
Hàm Thuận Nam, Bình Thuận
Huyện Hàm Thuận Nam, Tỉnh Bình Thuận
H.Hàm Thuận Nam, T.Bình Thuận
Tánh Linh, Bình Thuận
Huyện Tánh Linh, Tỉnh Bình Thuận
H.Tánh Linh, T.Bình Thuận
Đức Linh, Bình Thuận
Huyện Đức Linh, Tỉnh Bình Thuận
H.Đức Linh, T.Bình Thuận
Hàm Tân, Bình Thuận
Huyện Hàm Tân, Tỉnh Bình Thuận
H.Hàm Tân, T.Bình Thuận
Phú Quí, Bình Thuận
Huyện Phú Quí, Tỉnh Bình Thuận
H.Phú Quí, T.Bình Thuận
Cà Mau, Cà Mau
Thành phố Cà Mau, Tỉnh Cà Mau
TP.Cà Mau, T.Cà Mau
U Minh, Cà Mau
Huyện U Minh, Tỉnh Cà Mau
H.U Minh, T.Cà Mau
Thới Bình, Cà Mau
Huyện Thới Bình, Tỉnh Cà Mau
H.Thới Bình, T.Cà Mau
Trần Văn Thời, Cà Mau
Huyện Trần Văn Thời, Tỉnh Cà Mau
H.Trần Văn Thời, T.Cà Mau
Cái Nước, Cà Mau
Huyện Cái Nước, Tỉnh Cà Mau
H.Cái Nước, T.Cà Mau
Đầm Dơi, Cà Mau
Huyện Đầm Dơi, Tỉnh Cà Mau
H.Đầm Dơi, T.Cà Mau
Năm Căn, Cà Mau
Huyện Năm Căn, Tỉnh Cà Mau
H.Năm Căn, T.Cà Mau
Phú Tân, Cà Mau
Huyện Phú Tân, Tỉnh Cà Mau
H.Phú Tân, T.Cà Mau
Ngọc Hiển, Cà Mau
Huyện Ngọc Hiển, Tỉnh Cà Mau
H.Ngọc Hiển, T.Cà Mau
Cao Bằng, Cao Bằng
Thành phố Cao Bằng, Tỉnh Cao Bằng
TP.Cao Bằng, T.Cao Bằng
Bảo Lâm, Cao Bằng
Huyện Bảo Lâm, Tỉnh Cao Bằng
H.Bảo Lâm, T.Cao Bằng
Bảo Lạc, Cao Bằng
Huyện Bảo Lạc, Tỉnh Cao Bằng
H.Bảo Lạc, T.Cao Bằng
Thông Nông, Cao Bằng
Huyện Thông Nông, Tỉnh Cao Bằng
H.Thông Nông, T.Cao Bằng
Hà Quảng, Cao Bằng
Huyện Hà Quảng, Tỉnh Cao Bằng
H.Hà Quảng, T.Cao Bằng
Trà Lĩnh, Cao Bằng
Huyện Trà Lĩnh, Tỉnh Cao Bằng
H.Trà Lĩnh, T.Cao Bằng
Trùng Khánh, Cao Bằng
Huyện Trùng Khánh, Tỉnh Cao Bằng
H.Trùng Khánh, T.Cao Bằng
Hạ Lang, Cao Bằng
Huyện Hạ Lang, Tỉnh Cao Bằng
H.Hạ Lang, T.Cao Bằng
Quảng Uyên, Cao Bằng
Huyện Quảng Uyên, Tỉnh Cao Bằng
H.Quảng Uyên, T.Cao Bằng
Phục Hoà, Cao Bằng
Huyện Phục Hoà, Tỉnh Cao Bằng
H.Phục Hoà, T.Cao Bằng
Hoà An, Cao Bằng
Huyện Hoà An, Tỉnh Cao Bằng
H.Hoà An, T.Cao Bằng
Nguyên Bình, Cao Bằng
Huyện Nguyên Bình, Tỉnh Cao Bằng
H.Nguyên Bình, T.Cao Bằng
Thạch An, Cao Bằng
Huyện Thạch An, Tỉnh Cao Bằng
H.Thạch An, T.Cao Bằng
Buôn Ma Thuột, Đắk Lắk
Thành phố Buôn Ma Thuột, Tỉnh Đắk Lắk
TP.Buôn Ma Thuột, T.Đắk Lắk
Buôn Hồ, Đắk Lắk
Thị xã Buôn Hồ, Tỉnh Đắk Lắk
Thị xã Buôn Hồ, T.Đắk Lắk
Ea H'leo, Đắk Lắk
Huyện Ea H'leo, Tỉnh Đắk Lắk
H.Ea H'leo, T.Đắk Lắk
Ea Súp, Đắk Lắk
Huyện Ea Súp, Tỉnh Đắk Lắk
H.Ea Súp, T.Đắk Lắk
Buôn Đôn, Đắk Lắk
Huyện Buôn Đôn, Tỉnh Đắk Lắk
H.Buôn Đôn, T.Đắk Lắk
Cư M'gar, Đắk Lắk
Huyện Cư M'gar, Tỉnh Đắk Lắk
H.Cư M'gar, T.Đắk Lắk
Krông Búk, Đắk Lắk
Huyện Krông Búk, Tỉnh Đắk Lắk
H.Krông Búk, T.Đắk Lắk
Krông Năng, Đắk Lắk
Huyện Krông Năng, Tỉnh Đắk Lắk
H.Krông Năng, T.Đắk Lắk
Ea Kar, Đắk Lắk
Huyện Ea Kar, Tỉnh Đắk Lắk
H.Ea Kar, T.Đắk Lắk
M'Đrắk, Đắk Lắk
Huyện M'Đrắk, Tỉnh Đắk Lắk
H.M'Đrắk, T.Đắk Lắk
Krông Bông, Đắk Lắk
Huyện Krông Bông, Tỉnh Đắk Lắk
H.Krông Bông, T.Đắk Lắk
Krông Pắc, Đắk Lắk
Huyện Krông Pắc, Tỉnh Đắk Lắk
H.Krông Pắc, T.Đắk Lắk
Krông A Na, Đắk Lắk
Huyện Krông A Na, Tỉnh Đắk Lắk
H.Krông A Na, T.Đắk Lắk
Lắk, Đắk Lắk
Huyện Lắk, Tỉnh Đắk Lắk
H.Lắk, T.Đắk Lắk
Cư Kuin, Đắk Lắk
Huyện Cư Kuin, Tỉnh Đắk Lắk
H.Cư Kuin, T.Đắk Lắk
Liên Chiểu, Đà Nẵng
Quận Liên Chiểu, Thành phố Đà Nẵng
Q.Liên Chiểu, TP.Đà Nẵng
Thanh Khê, Đà Nẵng
Quận Thanh Khê, Thành phố Đà Nẵng
Q.Thanh Khê, TP.Đà Nẵng
Hải Châu, Đà Nẵng
Quận Hải Châu, Thành phố Đà Nẵng
Q.Hải Châu, TP.Đà Nẵng
Sơn Trà, Đà Nẵng
Quận Sơn Trà, Thành phố Đà Nẵng
Q.Sơn Trà, TP.Đà Nẵng
Ngũ Hành Sơn, Đà Nẵng
Quận Ngũ Hành Sơn, Thành phố Đà Nẵng
Q.Ngũ Hành Sơn, TP.Đà Nẵng
Cẩm Lệ, Đà Nẵng
Quận Cẩm Lệ, Thành phố Đà Nẵng
Q.Cẩm Lệ, TP.Đà Nẵng
Hòa Vang, Đà Nẵng
Huyện Hòa Vang, Thành phố Đà Nẵng
H.Hòa Vang, TP.Đà Nẵng
Gia Nghĩa, Đắk Nông
Thành phố Gia Nghĩa, Tỉnh Đắk Nông
TP.Gia Nghĩa, T.Đắk Nông
Đăk Glong, Đắk Nông
Huyện Đăk Glong, Tỉnh Đắk Nông
H.Đăk Glong, T.Đắk Nông
Cư Jút, Đắk Nông
Huyện Cư Jút, Tỉnh Đắk Nông
H.Cư Jút, T.Đắk Nông
Đắk Mil, Đắk Nông
Huyện Đắk Mil, Tỉnh Đắk Nông
H.Đắk Mil, T.Đắk Nông
Krông Nô, Đắk Nông
Huyện Krông Nô, Tỉnh Đắk Nông
H.Krông Nô, T.Đắk Nông
Đắk Song, Đắk Nông
Huyện Đắk Song, Tỉnh Đắk Nông
H.Đắk Song, T.Đắk Nông
Đắk R'Lấp, Đắk Nông
Huyện Đắk R'Lấp, Tỉnh Đắk Nông
H.Đắk R'Lấp, T.Đắk Nông
Tuy Đức, Đắk Nông
Huyện Tuy Đức, Tỉnh Đắk Nông
H.Tuy Đức, T.Đắk Nông
Điện Biên Phủ, Điện Biên
Thành phố Điện Biên Phủ, Tỉnh Điện Biên
TP.Điện Biên Phủ, T.Điện Biên
Mường Lay, Điện Biên
Thị xã Mường Lay, Tỉnh Điện Biên
Thị xã Mường Lay, T.Điện Biên
Mường Nhé, Điện Biên
Huyện Mường Nhé, Tỉnh Điện Biên
H.Mường Nhé, T.Điện Biên
Mường Chà, Điện Biên
Huyện Mường Chà, Tỉnh Điện Biên
H.Mường Chà, T.Điện Biên
Tủa Chùa, Điện Biên
Huyện Tủa Chùa, Tỉnh Điện Biên
H.Tủa Chùa, T.Điện Biên
Tuần Giáo, Điện Biên
Huyện Tuần Giáo, Tỉnh Điện Biên
H.Tuần Giáo, T.Điện Biên
Điện Biên, Điện Biên
Huyện Điện Biên, Tỉnh Điện Biên
H.Điện Biên, T.Điện Biên
Điện Biên Đông, Điện Biên
Huyện Điện Biên Đông, Tỉnh Điện Biên
H.Điện Biên Đông, T.Điện Biên
Mường Ảng, Điện Biên
Huyện Mường Ảng, Tỉnh Điện Biên
H.Mường Ảng, T.Điện Biên
Nậm Pồ, Điện Biên
Huyện Nậm Pồ, Tỉnh Điện Biên
H.Nậm Pồ, T.Điện Biên
Biên Hòa, Đồng Nai
Thành phố Biên Hòa, Tỉnh Đồng Nai
TP.Biên Hòa, T.Đồng Nai
Long Khánh, Đồng Nai
Thành phố Long Khánh, Tỉnh Đồng Nai
TP.Long Khánh, T.Đồng Nai
Tân Phú, Đồng Nai
Huyện Tân Phú, Tỉnh Đồng Nai
H.Tân Phú, T.Đồng Nai
Vĩnh Cửu, Đồng Nai
Huyện Vĩnh Cửu, Tỉnh Đồng Nai
H.Vĩnh Cửu, T.Đồng Nai
Định Quán, Đồng Nai
Huyện Định Quán, Tỉnh Đồng Nai
H.Định Quán, T.Đồng Nai
Trảng Bom, Đồng Nai
Huyện Trảng Bom, Tỉnh Đồng Nai
H.Trảng Bom, T.Đồng Nai
Thống Nhất, Đồng Nai
Huyện Thống Nhất, Tỉnh Đồng Nai
H.Thống Nhất, T.Đồng Nai
Cẩm Mỹ, Đồng Nai
Huyện Cẩm Mỹ, Tỉnh Đồng Nai
H.Cẩm Mỹ, T.Đồng Nai
Long Thành, Đồng Nai
Huyện Long Thành, Tỉnh Đồng Nai
H.Long Thành, T.Đồng Nai
Xuân Lộc, Đồng Nai
Huyện Xuân Lộc, Tỉnh Đồng Nai
H.Xuân Lộc, T.Đồng Nai
Nhơn Trạch, Đồng Nai
Huyện Nhơn Trạch, Tỉnh Đồng Nai
H.Nhơn Trạch, T.Đồng Nai
Cao Lãnh, Đồng Tháp
Thành phố Cao Lãnh, Tỉnh Đồng Tháp
TP.Cao Lãnh, T.Đồng Tháp
Sa Đéc, Đồng Tháp
Thành phố Sa Đéc, Tỉnh Đồng Tháp
TP.Sa Đéc, T.Đồng Tháp
Hồng Ngự, Đồng Tháp
Thị xã Hồng Ngự, Tỉnh Đồng Tháp
Thị xã Hồng Ngự, T.Đồng Tháp
Tân Hồng, Đồng Tháp
Huyện Tân Hồng, Tỉnh Đồng Tháp
H.Tân Hồng, T.Đồng Tháp
Hồng Ngự, Đồng Tháp
Huyện Hồng Ngự, Tỉnh Đồng Tháp
H.Hồng Ngự, T.Đồng Tháp
Tam Nông, Đồng Tháp
Huyện Tam Nông, Tỉnh Đồng Tháp
H.Tam Nông, T.Đồng Tháp
Tháp Mười, Đồng Tháp
Huyện Tháp Mười, Tỉnh Đồng Tháp
H.Tháp Mười, T.Đồng Tháp
Cao Lãnh, Đồng Tháp
Huyện Cao Lãnh, Tỉnh Đồng Tháp
H.Cao Lãnh, T.Đồng Tháp
Thanh Bình, Đồng Tháp
Huyện Thanh Bình, Tỉnh Đồng Tháp
H.Thanh Bình, T.Đồng Tháp
Lấp Vò, Đồng Tháp
Huyện Lấp Vò, Tỉnh Đồng Tháp
H.Lấp Vò, T.Đồng Tháp
Lai Vung, Đồng Tháp
Huyện Lai Vung, Tỉnh Đồng Tháp
H.Lai Vung, T.Đồng Tháp
Châu Thành, Đồng Tháp
Huyện Châu Thành, Tỉnh Đồng Tháp
H.Châu Thành, T.Đồng Tháp
Pleiku, Gia Lai
Thành phố Pleiku, Tỉnh Gia Lai
TP.Pleiku, T.Gia Lai
An Khê, Gia Lai
Thị xã An Khê, Tỉnh Gia Lai
Thị xã An Khê, T.Gia Lai
Ayun Pa, Gia Lai
Thị xã Ayun Pa, Tỉnh Gia Lai
Thị xã Ayun Pa, T.Gia Lai
KBang, Gia Lai
Huyện KBang, Tỉnh Gia Lai
H.KBang, T.Gia Lai
Đăk Đoa, Gia Lai
Huyện Đăk Đoa, Tỉnh Gia Lai
H.Đăk Đoa, T.Gia Lai
Chư Păh, Gia Lai
Huyện Chư Păh, Tỉnh Gia Lai
H.Chư Păh, T.Gia Lai
Ia Grai, Gia Lai
Huyện Ia Grai, Tỉnh Gia Lai
H.Ia Grai, T.Gia Lai
Mang Yang, Gia Lai
Huyện Mang Yang, Tỉnh Gia Lai
H.Mang Yang, T.Gia Lai
Kông Chro, Gia Lai
Huyện Kông Chro, Tỉnh Gia Lai
H.Kông Chro, T.Gia Lai
Đức Cơ, Gia Lai
Huyện Đức Cơ, Tỉnh Gia Lai
H.Đức Cơ, T.Gia Lai
Chư Prông, Gia Lai
Huyện Chư Prông, Tỉnh Gia Lai
H.Chư Prông, T.Gia Lai
Chư Sê, Gia Lai
Huyện Chư Sê, Tỉnh Gia Lai
H.Chư Sê, T.Gia Lai
Đăk Pơ, Gia Lai
Huyện Đăk Pơ, Tỉnh Gia Lai
H.Đăk Pơ, T.Gia Lai
Ia Pa, Gia Lai
Huyện Ia Pa, Tỉnh Gia Lai
H.Ia Pa, T.Gia Lai
Krông Pa, Gia Lai
Huyện Krông Pa, Tỉnh Gia Lai
H.Krông Pa, T.Gia Lai
Phú Thiện, Gia Lai
Huyện Phú Thiện, Tỉnh Gia Lai
H.Phú Thiện, T.Gia Lai
Chư Pưh, Gia Lai
Huyện Chư Pưh, Tỉnh Gia Lai
H.Chư Pưh, T.Gia Lai
Hà Giang, Hà Giang
Thành phố Hà Giang, Tỉnh Hà Giang
TP.Hà Giang, T.Hà Giang
Đồng Văn, Hà Giang
Huyện Đồng Văn, Tỉnh Hà Giang
H.Đồng Văn, T.Hà Giang
Mèo Vạc, Hà Giang
Huyện Mèo Vạc, Tỉnh Hà Giang
H.Mèo Vạc, T.Hà Giang
Yên Minh, Hà Giang
Huyện Yên Minh, Tỉnh Hà Giang
H.Yên Minh, T.Hà Giang
Quản Bạ, Hà Giang
Huyện Quản Bạ, Tỉnh Hà Giang
H.Quản Bạ, T.Hà Giang
Vị Xuyên, Hà Giang
Huyện Vị Xuyên, Tỉnh Hà Giang
H.Vị Xuyên, T.Hà Giang
Bắc Mê, Hà Giang
Huyện Bắc Mê, Tỉnh Hà Giang
H.Bắc Mê, T.Hà Giang
Hoàng Su Phì, Hà Giang
Huyện Hoàng Su Phì, Tỉnh Hà Giang
H.Hoàng Su Phì, T.Hà Giang
Xín Mần, Hà Giang
Huyện Xín Mần, Tỉnh Hà Giang
H.Xín Mần, T.Hà Giang
Bắc Quang, Hà Giang
Huyện Bắc Quang, Tỉnh Hà Giang
H.Bắc Quang, T.Hà Giang
Quang Bình, Hà Giang
Huyện Quang Bình, Tỉnh Hà Giang
H.Quang Bình, T.Hà Giang
Phủ Lý, Hà Nam
Thành phố Phủ Lý, Tỉnh Hà Nam
TP.Phủ Lý, T.Hà Nam
Duy Tiên, Hà Nam
Thị xã Duy Tiên, Tỉnh Hà Nam
Thị xã Duy Tiên, T.Hà Nam
Kim Bảng, Hà Nam
Huyện Kim Bảng, Tỉnh Hà Nam
H.Kim Bảng, T.Hà Nam
Thanh Liêm, Hà Nam
Huyện Thanh Liêm, Tỉnh Hà Nam
H.Thanh Liêm, T.Hà Nam
Bình Lục, Hà Nam
Huyện Bình Lục, Tỉnh Hà Nam
H.Bình Lục, T.Hà Nam
Lý Nhân, Hà Nam
Huyện Lý Nhân, Tỉnh Hà Nam
H.Lý Nhân, T.Hà Nam
Hà Tĩnh, Hà Tĩnh
Thành phố Hà Tĩnh, Tỉnh Hà Tĩnh
TP.Hà Tĩnh, T.Hà Tĩnh
Hồng Lĩnh, Hà Tĩnh
Thị xã Hồng Lĩnh, Tỉnh Hà Tĩnh
Thị xã Hồng Lĩnh, T.Hà Tĩnh
Hương Sơn, Hà Tĩnh
Huyện Hương Sơn, Tỉnh Hà Tĩnh
H.Hương Sơn, T.Hà Tĩnh
Đức Thọ, Hà Tĩnh
Huyện Đức Thọ, Tỉnh Hà Tĩnh
H.Đức Thọ, T.Hà Tĩnh
Vũ Quang, Hà Tĩnh
Huyện Vũ Quang, Tỉnh Hà Tĩnh
H.Vũ Quang, T.Hà Tĩnh
Nghi Xuân, Hà Tĩnh
Huyện Nghi Xuân, Tỉnh Hà Tĩnh
H.Nghi Xuân, T.Hà Tĩnh
Can Lộc, Hà Tĩnh
Huyện Can Lộc, Tỉnh Hà Tĩnh
H.Can Lộc, T.Hà Tĩnh
Hương Khê, Hà Tĩnh
Huyện Hương Khê, Tỉnh Hà Tĩnh
H.Hương Khê, T.Hà Tĩnh
Thạch Hà, Hà Tĩnh
Huyện Thạch Hà, Tỉnh Hà Tĩnh
H.Thạch Hà, T.Hà Tĩnh
Cẩm Xuyên, Hà Tĩnh
Huyện Cẩm Xuyên, Tỉnh Hà Tĩnh
H.Cẩm Xuyên, T.Hà Tĩnh
Kỳ Anh, Hà Tĩnh
Huyện Kỳ Anh, Tỉnh Hà Tĩnh
H.Kỳ Anh, T.Hà Tĩnh
Lộc Hà, Hà Tĩnh
Huyện Lộc Hà, Tỉnh Hà Tĩnh
H.Lộc Hà, T.Hà Tĩnh
Kỳ Anh, Hà Tĩnh
Thị xã Kỳ Anh, Tỉnh Hà Tĩnh
Thị xã Kỳ Anh, T.Hà Tĩnh
Hải Dương, Hải Dương
Thành phố Hải Dương, Tỉnh Hải Dương
TP.Hải Dương, T.Hải Dương
Chí Linh, Hải Dương
Thành phố Chí Linh, Tỉnh Hải Dương
TP.Chí Linh, T.Hải Dương
Nam Sách, Hải Dương
Huyện Nam Sách, Tỉnh Hải Dương
H.Nam Sách, T.Hải Dương
Kinh Môn, Hải Dương
Thị xã Kinh Môn, Tỉnh Hải Dương
Thị xã Kinh Môn, T.Hải Dương
Kim Thành, Hải Dương
Huyện Kim Thành, Tỉnh Hải Dương
H.Kim Thành, T.Hải Dương
Thanh Hà, Hải Dương
Huyện Thanh Hà, Tỉnh Hải Dương
H.Thanh Hà, T.Hải Dương
Cẩm Giàng, Hải Dương
Huyện Cẩm Giàng, Tỉnh Hải Dương
H.Cẩm Giàng, T.Hải Dương
Bình Giang, Hải Dương
Huyện Bình Giang, Tỉnh Hải Dương
H.Bình Giang, T.Hải Dương
Gia Lộc, Hải Dương
Huyện Gia Lộc, Tỉnh Hải Dương
H.Gia Lộc, T.Hải Dương
Tứ Kỳ, Hải Dương
Huyện Tứ Kỳ, Tỉnh Hải Dương
H.Tứ Kỳ, T.Hải Dương
Ninh Giang, Hải Dương
Huyện Ninh Giang, Tỉnh Hải Dương
H.Ninh Giang, T.Hải Dương
Thanh Miện, Hải Dương
Huyện Thanh Miện, Tỉnh Hải Dương
H.Thanh Miện, T.Hải Dương
Vị Thanh, Hậu Giang
Thành phố Vị Thanh, Tỉnh Hậu Giang
TP.Vị Thanh, T.Hậu Giang
Ngã Bảy, Hậu Giang
Thị xã Ngã Bảy, Tỉnh Hậu Giang
Thị xã Ngã Bảy, T.Hậu Giang
Châu Thành A, Hậu Giang
Huyện Châu Thành A, Tỉnh Hậu Giang
H.Châu Thành A, T.Hậu Giang
Châu Thành, Hậu Giang
Huyện Châu Thành, Tỉnh Hậu Giang
H.Châu Thành, T.Hậu Giang
Phụng Hiệp, Hậu Giang
Huyện Phụng Hiệp, Tỉnh Hậu Giang
H.Phụng Hiệp, T.Hậu Giang
Vị Thuỷ, Hậu Giang
Huyện Vị Thuỷ, Tỉnh Hậu Giang
